,account_length,credit_card_info_save,push_status,add_to_wishlist,desktop_sessions,app_sessions,desktop_transactions,total_product_detail_views,session_duration,promotion_clicks,avg_order_value,sale_product_views,discount_rate_per_visited_products,product_detail_view_per_app_session,app_transactions,add_to_cart_per_session,customer_service_calls,churn,__408,__415,__510
0,0.5247933884297521,0,1,0.49019607843137253,0.754985754985755,0.75,0.5483870967741935,0.6666666666666666,0.5412087912087913,0.5117647058823529,0.5957504034427111,0.4084507042253521,0.5959354453078303,0.5,0.15000000000000002,0.5,0.1111111111111111,0,0,1,0
1,0.4380165289256199,0,1,0.5098039215686274,0.46153846153846156,0.45,0.5483870967741935,0.7454545454545455,0.5384615384615385,0.6058823529411764,0.6218396987627758,0.49295774647887325,0.6222355050806934,0.685,0.15000000000000002,0.6851851851851852,0.1111111111111111,0,0,1,0
2,0.5619834710743802,0,0,0.0,0.6923076923076923,0.6833333333333333,0.3225806451612903,0.6909090909090909,0.33241758241758246,0.6470588235294118,0.37493275954814415,0.5,0.3753735803945009,0.61,0.25,0.6092592592592593,0.0,0,0,1,0
3,0.34297520661157027,1,0,0.0,0.8518518518518519,0.85,0.16129032258064516,0.4303030303030303,0.17032967032967034,0.5176470588235293,0.46718665949435184,0.3943661971830986,0.4674237895995218,0.33,0.35000000000000003,0.3296296296296296,0.2222222222222222,0,1,0,0
4,0.3057851239669422,1,0,0.0,0.4757834757834758,0.4666666666666667,0.4193548387096774,0.6848484848484848,0.40659340659340665,0.7176470588235294,0.44029047875201716,0.6197183098591549,0.44052600119545726,0.505,0.15000000000000002,0.5055555555555555,0.3333333333333333,0,0,1,0
5,0.48347107438016534,1,0,0.0,0.6353276353276354,0.6333333333333333,0.6129032258064516,0.593939393939394,0.6071428571428572,0.5941176470588235,0.486013986013986,0.5985915492957746,0.4865511057979677,0.315,0.30000000000000004,0.31481481481481477,0.0,0,0,0,1
6,0.49586776859504134,0,1,0.47058823529411764,0.6210826210826211,0.6166666666666667,0.967741935483871,0.5333333333333333,0.9587912087912088,0.6352941176470588,0.5094136632598171,0.5985915492957746,0.5098625224148237,0.375,0.35000000000000003,0.3759259259259259,0.3333333333333333,0,0,0,1
7,0.6033057851239669,1,0,0.0,0.44729344729344733,0.45,0.29032258064516125,0.47878787878787876,0.282967032967033,0.5529411764705883,0.5072619688004304,0.4436619718309859,0.5074716078900179,0.355,0.30000000000000004,0.3555555555555555,0.0,0,0,1,0
8,0.4793388429752066,0,0,0.0,0.5270655270655271,0.5166666666666666,0.967741935483871,0.5878787878787879,0.9670329670329672,0.47058823529411764,0.5180204410973642,0.4014084507042254,0.5182307232516438,0.435,0.2,0.4351851851851852,0.1111111111111111,0,1,0,0
9,0.578512396694215,1,1,0.7254901960784313,0.7378917378917379,0.7333333333333333,0.6129032258064516,0.509090909090909,0.6098901098901099,0.6529411764705882,0.8154922001075847,0.45070422535211263,0.8158995815899581,0.5599999999999999,0.25,0.5592592592592592,0.0,0,0,1,0
